user_id,song_id,rank
b80344d063b5ccb3212f76538f3d9e43d87dca9e,SOUKJBT12A6701C4D6,1
b80344d063b5ccb3212f76538f3d9e43d87dca9e,SOAOAHZ12A8C13AAF1,2
b80344d063b5ccb3212f76538f3d9e43d87dca9e,SORKFWO12A8C138D83,3
b80344d063b5ccb3212f76538f3d9e43d87dca9e,SOIDDNJ12AC9071B90,4
b80344d063b5ccb3212f76538f3d9e43d87dca9e,SOPARNW12B0B80AD8D,5
b80344d063b5ccb3212f76538f3d9e43d87dca9e,SOHSOEO12A8C1314F9,6
b80344d063b5ccb3212f76538f3d9e43d87dca9e,SOLYVAA12AF72A366B,7
b80344d063b5ccb3212f76538f3d9e43d87dca9e,SOUIYDY12A8C141517,8
b80344d063b5ccb3212f76538f3d9e43d87dca9e,SOMPPAS12A8C13385B,9
b80344d063b5ccb3212f76538f3d9e43d87dca9e,SOGKBUP12A8AE46251,10
9fba771d9731561eba47216f6fbfc0023d88641b,SOCKEDZ12A6D4F6F09,1
9fba771d9731561eba47216f6fbfc0023d88641b,SOECVEZ12A6D4F6F06,2
9fba771d9731561eba47216f6fbfc0023d88641b,SOZKNSB12A8C140F11,3
9fba771d9731561eba47216f6fbfc0023d88641b,SONOMEC12A8C14541F,4
9fba771d9731561eba47216f6fbfc0023d88641b,SOBBKGF12A8C1311EE,5
9fba771d9731561eba47216f6fbfc0023d88641b,SOASTSF12A8C1420B5,6
9fba771d9731561eba47216f6fbfc0023d88641b,SOMCMKG12A8C1347BF,7
9fba771d9731561eba47216f6fbfc0023d88641b,SOEKSGJ12A67AE227E,8
9fba771d9731561eba47216f6fbfc0023d88641b,SOPQLBY12A6310E992,9
9fba771d9731561eba47216f6fbfc0023d88641b,SODXRTY12AB0180F3B,10
85952991b8e3ca5803a08b0b2f9c6d71abf9bb5b,SOFHFDD12AC46880BF,1
85952991b8e3ca5803a08b0b2f9c6d71abf9bb5b,SOZCZTN12AF729E7EC,2
85952991b8e3ca5803a08b0b2f9c6d71abf9bb5b,SOYOIMF12A8C135BF4,3
85952991b8e3ca5803a08b0b2f9c6d71abf9bb5b,SOMTXSB12AF72ACC38,4
85952991b8e3ca5803a08b0b2f9c6d71abf9bb5b,SOGETYZ12A81C233DD,5
85952991b8e3ca5803a08b0b2f9c6d71abf9bb5b,SOJARVY12AF72ACF03,6
85952991b8e3ca5803a08b0b2f9c6d71abf9bb5b,SOPOFBW12AB0187196,7
85952991b8e3ca5803a08b0b2f9c6d71abf9bb5b,SONEQDB12A67AD819F,8
85952991b8e3ca5803a08b0b2f9c6d71abf9bb5b,SOQCIXL12A6D4F87E0,9
85952991b8e3ca5803a08b0b2f9c6d71abf9bb5b,SOYQQAC12A6D4FD59E,10
537340ff896dea11328910013cfe759413e1eeb3,SOJQDYQ12AF72A30E5,1
537340ff896dea11328910013cfe759413e1eeb3,SOGHGWJ12A8C1451BA,2
537340ff896dea11328910013cfe759413e1eeb3,SOZWSPY12AB01850A7,3
537340ff896dea11328910013cfe759413e1eeb3,SOOIMRP12AB018609D,4
537340ff896dea11328910013cfe759413e1eeb3,SOMWASN12A6D4F72B3,5
537340ff896dea11328910013cfe759413e1eeb3,SOBWYBI12A58A78AEC,6
537340ff896dea11328910013cfe759413e1eeb3,SOMGXHN12A58A7929F,7
537340ff896dea11328910013cfe759413e1eeb3,SONSZVP12AF729F13C,8
537340ff896dea11328910013cfe759413e1eeb3,SOQTAYJ12A8C141FCD,9
537340ff896dea11328910013cfe759413e1eeb3,SOWASXJ12A6701E2D3,10
12768858f6a825452e412deb1df36d2d1d9c6791,SOIPYPB12A8C1360D4,1
12768858f6a825452e412deb1df36d2d1d9c6791,SONIQRE12AF72A2B02,2
