,song_id,avg_duration,total_tracks,avg_familiarity,avg_hotttnesss,song_name,rank
0,SOUKJBT12A6701C4D6,290.024037,10,0.7329659977992001,0.482131081053,!!!,1
1,SOJLVFZ12A58A7880C,271.437915,2,0.473185429196,0.0798627725015,!Bazz Feat. Siamak,1
2,SOCSRCP12A8C1416B2,335.0617513333334,15,0.5217014726625332,0.3895358597460001,!Deladap,1
3,SOXVVSM12A8C142224,318.56281,2,0.391268836997,0.525509132504,#Poundsign#,1
4,SOODHLO12AF72A1980,281.74508428571426,7,0.499202148212,0.0,$jammie the Money,1
5,SOBYZRW12A58A7ABF1,276.102635,14,0.327675437351,0.367139620177,$tinkworx,1
6,SOKEEKD12AB0188B39,269.73547628571424,35,0.5192267351050002,0.3971725199120003,& And Oceans,1
7,SOSGXCZ12A8C145A5C,99.99628,1,0.634560652132,0.394680446396,& etc,1
8,SOYXUQF12AB01843BA,170.6693809090909,11,0.4418631184080001,0.3349487386860001,'68 Comeback,1
9,SOKPKQH12A6701DDE4,237.86633027027028,37,0.5932914945400004,0.4275979384179998,'Til Tuesday,1
10,SOAOAHZ12A8C13AAF1,243.3312477083333,48,0.4867884728959997,0.3673691521929997,'t Hof Van Commerce,1
11,SODDUDN12AB0182212,240.78370407407408,27,0.6186389092649999,0.4066979552489999,(Hed) Planet Earth,1
12,SOKJNHT12A6D4F8858,507.1342425,4,0.536576596859,0.238123242222,(Love) Tattoo,1
13,SODKGEH12A6D4F4843,145.3283542105263,19,0.5803326740144211,0.3248808718780001,(hed) p.e.,1
14,SOIBLQH12A6D4F4841,285.90975,1,0.380547825767,0.248599048501,*NSYNC featuring Nelly,1
15,SOSQKCC12AB018073C,295.91987299999994,20,0.5085523223630001,0.3881657418450002,*Shels,1
16,SOYOMGN12A58A77BDF,384.7571,1,0.404372126949,0.334885535813,+39,1
17,SOGUPAU12A67AD754E,217.36558,23,0.7757350948284347,0.5549483530860002,+44,1
18,SOVLQDU12A67AD7551,275.18213,3,0.403279668932,0.0,-123 minut,1
19,SOKCJBE12A8C14095B,233.38369263157887,38,0.1375954404459999,0.0,-123min.,1
20,SORKFWO12A8C138D83,215.45751,1,0.642897922963,0.356565100772,->School<-,1
21,SOZPWAS12A8C133E58,147.66975,1,0.586308884539,0.430717772518,-M-,1
22,SORJAQG12A67AE0C35,129.88036,1,0.571165064158,0.410387744023,...But Alive,1
23,SOTOPPG12A6D4FA36E,265.80852428571427,14,0.5603287975629999,0.0,...arrived at ten,1
24,SOXWBNX12A6D4F914B,181.15873,1,0.542897600694,0.0,00Genesis,1
25,SOIPZEF12A8C13C68B,255.7441255555556,9,0.549789559503,0.324603294026,0131,1
26,SOYXVVZ12AB017F569,230.7165,15,0.4399936927979999,0.0,089 Clique,1
27,SOLUHAO12A8C13DD33,280.7498416666667,36,0.5824849140870004,0.4202620511509996,091,1
28,SOGMLQO12A670207BF,244.94626766666676,30,0.4771016409750999,0.4110816713844998,1 40 4 20,1
29,SOEPECF12A67ADCF2D,427.8624025000001,8,0.498321192289,0.351811496339,1 Mile North,1
30,SOIDDNJ12AC9071B90,296.646075,4,0.50511929187,0.360674125193,1-Speed Bike,1
31,SOCZYWJ12AB017FD33,209.1685265,40,0.374763103346,0.256977993692,1. Futurologischer Congress,1
32,SONVZUC12AF72A9A3A,211.74376416666664,12,0.4146458243779998,0.265716622639,1.000 Mexicans,1
